Datetime,T_out,WindD,Rain,SetTemp,MeanT,Spa,MeanRH,MeanC,magI,WindDs,WindDc,Win_AFT,Win_AFB,Win_ARoof,Win_Akip,Win_BFT,Win_BFB,Win_Broof,Win_BKip,Vfloor_A,Vfloor_B,dayE,dayW,hourS,hourC,group,WindDC_E,WindDC_P,WindDC_W
2020-04-10 17:30:00,9.065,326.3703432267813,0.0,18.85,16.8931194543838,2.1719999999999997,44.8285,298.607164458784,6.23819584322337,-0.5538226020714491,0.832634689065264,6.581575352294767,0.0,9.964683990684383,23.951124791773456,6.746875202222241,0.0,9.689573744080462,23.951124791773456,6882.249,5902.647,44.1458333333333,58.1458333333333,-0.965925826289068,-0.258819045102522,5.0,0,0,1
2020-04-10 17:40:00,8.876,326.0685719310749,0.0,18.85,17.1076,2.296,45.6215,310.000601125516,5.98955399600496,-0.558200306111602,0.82970622406784,6.004953081546643,0.0,9.122063362220615,23.756988230822852,6.417574100364733,0.0,9.606357860795287,23.756988230822852,6628.22,5577.569,44.15277777777779,58.15277777777779,-0.965925826289068,-0.258819045102522,5.0,0,0,1
2020-04-10 17:50:00,9.185,325.25757251023157,0.0,18.85,17.0237,1.982,45.07,328.564444605682,6.94327762922319,-0.5698881644567559,0.821722264522575,5.908502497207355,0.0,9.323450126024825,23.553704735620492,5.973905288349227,0.0,8.960656987025182,23.553704735620492,6723.866,6039.733,44.15972222222221,58.15972222222221,-0.965925826289068,-0.258819045102522,5.0,0,0,1
2020-04-10 18:00:00,11.825,319.0557129941406,0.0,18.85,16.9823043609346,2.011,45.1935,346.050609397245,6.505618806745121,-0.655324858082985,0.755347158847186,5.487526351357335,0.0,8.567934967174784,23.316015166811255,5.109756971308075,0.0,8.681013211358268,23.316015166811255,6525.196999999999,5739.340999999999,44.1666666666667,58.1666666666667,-1.0,-1.8369701987210302e-16,5.0,0,0,1
2020-04-10 18:10:00,10.323,333.4907222966315,0.0,18.85,16.997889833926,2.305,45.2495,349.597685733549,6.59567797046309,-0.446342720822257,0.894862098632513,5.4912527449169595,0.0,8.579179927964676,23.316015166811255,5.1016580742047335,0.0,8.681013211358268,23.316015166811255,6829.182,5771.102,44.1736111111111,58.1736111111111,-1.0,-1.8369701987210302e-16,5.0,0,1,0
2020-04-10 18:20:00,8.1043,329.78914009731034,0.0,18.85,17.1341706344801,1.825,46.6125,347.92939314797997,6.88376244136066,-0.503183753154248,0.8641794434963169,5.060258745642899,0.0,8.169700216338855,23.017211682350624,4.630469531617587,0.0,8.58536353015185,23.017211682350624,6841.924,5805.436,44.1805555555556,58.1805555555556,-1.0,-1.8369701987210302e-16,5.0,0,0,1
2020-04-10 18:30:00,7.6909,327.9503807436621,0.0,18.85,16.97485,2.1069999999999998,45.838,344.10959147407203,6.777693908883849,-0.530653491524026,0.847588857839318,4.268154469606971,0.0,7.293574291945018,20.188681468588833,4.267798769203087,0.0,7.716142103311207,20.188681468588833,6764.548000000001,5871.953,44.1875,58.1875,-1.0,-1.8369701987210302e-16,5.0,0,0,1
2020-04-10 18:40:00,7.2875,328.05403655155294,0.0,18.85,16.75805,2.495,46.896,367.66141158687304,6.81853904657925,-0.529119221170231,0.848547494126409,4.268154469606971,0.0,7.583340984222578,22.22322694436487,4.0776198923445195,0.0,7.716142103311207,22.22322694436487,6756.6630000000005,5955.303000000001,44.1944444444444,58.1944444444444,-1.0,-1.8369701987210302e-16,5.0,0,0,1
2020-04-11 07:40:00,7.5773,314.5563787825095,0.0,18.8,17.3865,3.852,60.9895,540.021066926289,1.00392314064015,-0.7125604124842221,0.7016107600089351,2.4071781459368924,0.0,5.1690957690672965,10.653354778155801,2.765512728972552,0.0,4.778378053842385,10.193663754658107,6697.897,5581.951999999999,44.7361111111111,58.7361111111111,0.965925826289068,-0.258819045102521,5.0,0,0,1
2020-04-11 07:50:00,8.2441,283.7299523141701,0.0,18.8,17.4259,3.299,59.548,537.585162398805,0.9368837322967081,-0.9714251761995891,0.237346007014228,2.4071781459368924,0.0,5.1690957690672965,10.653354778155801,2.765512728972552,0.0,5.081225525034292,10.905204040352617,6764.423000000001,5535.847,44.7430555555556,58.7430555555556,0.965925826289068,-0.258819045102521,5.0,0,0,1
